Designator,Comment,Footprint,Qty,LCSC Part,MPN
"C1,C2,C15,C16",22pF,C0805,4,C1804,
"C4,C14,C18,C23,C24,C26",1uF,C0402,6,C52923,
"C5,C8,C10,C11,C12,C13,C17,C19,C20,C21,C25,C27",100nF,C0402,12,C1525,
"C6,C7,C9",4.7uF,C0402,3,C368809,
C22,10uF,C0805,1,C15850,
"D1,D2",KT-0603R,LED-SMD_L1.6-W0.8-R-RD,2,C2286,
"D10,D11",USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,C7519,
"J1,J2",TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,2,C165948,
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,C42411119,
"R1,R5,R9",10k,R0402,3,C25744,
"R2,R3,R4",4.7k,R0402,3,C25900,
"R6,R7",5.1k,R0402,2,C25905,
R8,47k,R0603,1,C25819,
"R10,R11,R13",1k,R0402,3,C11702,
R12,33,R0402,1,C25105,
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,C318884,
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,1,C41378174,
U2,FUSB302BMPX,MLP-14_L2.5-W2.5-P0.50-BL-EP,1,C132291,
U3,CH334F,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,C5187527,
U5,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,C47773,
U6,TLV70212DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,C81462,
"U8,U9","74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,2,C282330,
U10,AP22653W6-7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,C2158037,
"Y1,Y2",X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,2,C9002,
